left_descents,right_descents,total,changed,percentage_changed,avg_abs_mass_at_one,avg_support_size,avg_monomial_complexity,avg_max_bruhat_depth,avg_weighted_abs_degree_mass,type,family,rank,prime
1,2,393,19,4.83460559796,2.10526315789,2.05263157895,2.05263157895,9.36842105263,0.0,B6,B,6,3
1,3,161,4,2.48447204969,1.25,1.25,1.25,8.5,0.0,B6,B,6,3
1,4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
2,1,393,19,4.83460559796,2.10526315789,2.05263157895,2.05263157895,9.36842105263,0.0,B6,B,6,3
2,2,4389,76,1.7316017316,1.59210526316,1.57894736842,1.57894736842,10.0263157895,0.0,B6,B,6,3
2,3,4928,30,0.608766233766,1.13333333333,1.13333333333,1.13333333333,9.46666666666,0.0,B6,B,6,3
2,4,826,1,0.121065375303,1.0,1.0,1.0,8.0,0.0,B6,B,6,3
2,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
3,1,161,4,2.48447204969,1.25,1.25,1.25,8.5,0.0,B6,B,6,3
3,2,4928,30,0.608766233766,1.13333333333,1.13333333333,1.13333333333,9.46666666666,0.0,B6,B,6,3
3,3,13370,14,0.104712041885,1.0,1.0,1.0,9.57142857143,0.0,B6,B,6,3
3,4,4928,1,0.0202922077922,1.0,1.0,1.0,8.0,0.0,B6,B,6,3
3,5,161,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
4,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
4,2,826,1,0.121065375303,1.0,1.0,1.0,8.0,0.0,B6,B,6,3
4,3,4928,1,0.0202922077922,1.0,1.0,1.0,8.0,0.0,B6,B,6,3
4,4,4389,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
4,5,393,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
5,2,7,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
5,3,161,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
5,4,393,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
5,5,161,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
6,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,B6,B,6,3
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C2,C,2,2
1,1,6,1,16.6666666667,1.0,1.0,1.0,2.0,0.0,C2,C,2,2
2,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C2,C,2,2
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C3,C,3,2
1,1,19,5,26.3157894737,1.6,1.6,1.6,2.8,0.0,C3,C,3,2
1,2,4,2,50.0,1.0,1.0,1.0,2.0,0.0,C3,C,3,2
2,1,4,2,50.0,1.0,1.0,1.0,2.0,0.0,C3,C,3,2
2,2,19,2,10.5263157895,1.5,1.0,1.5,2.5,1.0,C3,C,3,2
3,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C3,C,3,2
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,C4,C,4,2
1,1,45,15,33.3333333333,3.33333333333,3.26666666667,3.33333333333,4.0,0.133333333333,C4,C,4,2
1,2,30,17,56.6666666667,2.17647058823,2.17647058823,2.17647058823,3.17647058823,0.0,C4,C,4,2
1,3,1,1,100.0,1.0,1.0,1.0,2.0,0.0,C4,C,4,2
2,1,30,17,56.6666666667,2.17647058823,2.17647058823,2.17647058823,3.17647058823,0.0,C4,C,4,2
2,2,170,44,25.8823529412,2.04545454546,1.59090909091,2.02272727273,2.97727272727,0.863636363636,C4,C,4,2
2,3,30,9,30.0,1.66666666667,1.44444444445,1.66666666667,3.11111111111,0.444444444444,C4,C,4,2
3,1,1,1,100.0,1.0,1.0,1.0,2.0,0.0,C4,C,4,2
3,2,30,9,30.0,1.66666666667,1.44444444445,1.66666666667,3.11111111111,0.444444444444,C4,C,4,2
