ell,total,changed,percentage_changed,avg_support_size,max_support_size,avg_signed_mass_at_one,max_signed_mass_at_one,avg_abs_mass_at_one,max_abs_mass_at_one,avg_monomial_complexity,max_monomial_complexity,avg_max_abs_degree,max_max_abs_degree,avg_max_bruhat_depth,max_max_bruhat_depth,avg_degree_zero_ratio,degree_zero_only,genuinely_graded,avg_avg_abs_degree,max_avg_abs_degree,avg_weighted_abs_degree_mass,max_weighted_abs_degree_mass,mild,moderate,wild,type,family,rank,prime
0,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B4,B,4,2
1,4,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B4,B,4,2
2,9,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,B4,B,4,2
3,16,1,6.25,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,1,0,0.0,0.0,0.0,0,1,0,0,B4,B,4,2
4,24,3,12.5,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,3,0,0.0,0.0,0.0,0,3,0,0,B4,B,4,2
5,32,6,18.75,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,2.0,2,1.0,6,0,0.0,0.0,0.0,0,6,0,0,B4,B,4,2
6,39,8,20.5128205128,1.5,4,1.5,4,1.5,4,1.5,4,0.0,0,2.5,4,1.0,8,0,0.0,0.0,0.0,0,6,2,0,B4,B,4,2
7,44,10,22.7272727273,1.8,4,1.8,4,1.8,4,1.8,4,0.0,0,2.8,4,1.0,10,0,0.0,0.0,0.0,0,6,4,0,B4,B,4,2
8,46,12,26.0869565217,2.08333333333,6,2.08333333333,6,2.08333333333,6,2.08333333333,6,0.0,0,3.16666666667,6,1.0,12,0,0.0,0.0,0.0,0,8,2,2,B4,B,4,2
9,44,15,34.0909090909,1.93333333333,7,1.93333333333,7,1.93333333333,7,1.93333333333,7,0.0,0,3.2,6,1.0,15,0,0.0,0.0,0.0,0,11,2,2,B4,B,4,2
10,39,17,43.5897435897,2.11764705883,18,2.23529411765,19,2.23529411765,19,2.23529411765,19,0.117647058824,1,3.23529411765,8,0.934984520124,15,2,0.0650154798761,1.0,0.235294117647,2,13,3,1,B4,B,4,2
11,32,14,43.75,2.07142857143,5,2.21428571429,5,2.21428571429,5,2.21428571429,5,0.142857142857,1,4.14285714286,6,0.857142857143,12,2,0.142857142857,1.0,0.285714285714,2,5,9,0,B4,B,4,2
12,24,8,33.3333333333,3.0,6,3.125,6,3.125,6,3.125,6,0.125,1,4.875,6,0.875,7,1,0.125,1.0,0.25,2,1,5,2,B4,B,4,2
13,16,6,37.5,2.83333333333,9,2.83333333333,9,2.83333333333,9,2.83333333333,9,0.0,0,4.0,8,1.0,6,0,0.0,0.0,0.0,0,4,1,1,B4,B,4,2
