type,family,rank,prime,total,changed,pct_changed,avg_support_size,max_support_size,avg_signed_mass_at_one,max_signed_mass_at_one,avg_abs_mass_at_one,max_abs_mass_at_one,avg_monomial_complexity,max_monomial_complexity,avg_max_coeff,max_max_coeff,avg_max_abs_coeff,max_max_abs_coeff,avg_max_abs_degree,max_max_abs_degree,avg_max_bruhat_depth,max_max_bruhat_depth,avg_degree_zero_ratio,degree_zero_only,genuinely_graded,avg_avg_abs_degree,max_avg_abs_degree,avg_weighted_abs_degree_mass,max_weighted_abs_degree_mass,mild,moderate,wild
C6,C,6,2,46080,20495.0,44.4769965278,6.39614540132,757.0,8.70558672847,1466.0,8.70558672847,1466.0,8.03800927056,974.0,1.15374481581,34.0,1.15374481581,34.0,0.405611124665,6.0,6.21000243962,22.0,0.806065052075,14565.0,5930.0,0.224285599029,2.4,3.63073920468,626.0,6601.0,7163.0,6731.0
D4,D,4,2,192,4.0,2.08333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
D5,D,5,2,1920,87.0,4.53125,1.49425287356,7.0,1.49425287356,7.0,1.49425287356,7.0,1.49425287356,7.0,1.0,1.0,1.0,1.0,0.0,0.0,4.66666666666,8.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,70.0,15.0,2.0
D6,D,6,2,23040,1848.0,8.02083333333,2.67911255411,116.0,2.71645021645,123.0,2.71645021645,123.0,2.70995670996,120.0,1.00649350649,4.0,1.00649350649,4.0,0.0232683982684,1.0,6.01785714286,16.0,0.985175677071,1805.0,43.0,0.0148243229295,1.0,0.0616883116883,8.0,1111.0,563.0,174.0
E6,E,6,2,51840,8243.0,15.9008487654,4.10906223462,312.0,4.31469125318,377.0,4.31469125318,377.0,4.19216304743,318.0,1.0257187917,4.0,1.0257187917,4.0,0.0245056411501,2.0,7.22188523596,20.0,0.994968944832,8055.0,188.0,0.00510753232177,0.571428571428,0.166201625622,114.0,4545.0,2480.0,1218.0
F4,F,4,2,1152,632.0,54.8611111111,3.34493670886,65.0,4.25791139241,109.0,4.25791139241,109.0,3.97943037975,76.0,1.10443037975,6.0,1.10443037975,6.0,0.341772151899,4.0,5.3085443038,16.0,0.856054302364,477.0,155.0,0.179502330875,3.0,1.35759493671,50.0,282.0,234.0,116.0
G2,G,2,2,12,4.0,33.3333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
B6,B,6,3,46080,214.0,0.464409722222,1.56074766355,17.0,1.57943925234,18.0,1.57943925234,18.0,1.56074766355,17.0,1.01869158878,2.0,1.01869158878,2.0,0.0,0.0,9.65420560748,14.0,1.0,214.0,0.0,0.0,0.0,0.0,0.0,147.0,61.0,6.0
C6,C,6,3,46080,214.0,0.464409722222,1.56074766355,17.0,1.57943925234,18.0,1.57943925234,18.0,1.56074766355,17.0,1.01869158878,2.0,1.01869158878,2.0,0.0,0.0,9.65420560748,14.0,1.0,214.0,0.0,0.0,0.0,0.0,0.0,147.0,61.0,6.0
D6,D,6,3,23040,4.0,0.0173611111111,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,10.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
E6,E,6,3,51840,1028.0,1.98302469136,2.27237354085,51.0,2.30350194552,51.0,2.30350194552,51.0,2.27237354085,51.0,1.01750972763,2.0,1.01750972763,2.0,0.0,0.0,8.21984435798,16.0,1.0,1028.0,0.0,0.0,0.0,0.0,0.0,616.0,343.0,69.0
F4,F,4,3,1152,72.0,6.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,6.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0
G2,G,2,3,12,2.0,16.6666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
