ell,total,changed,percentage_changed,type,family,rank,prime,source
30,315,111,35.2380952381,C6,C,6,2,percentage
31,190,62,32.6315789474,C6,C,6,2,percentage
32,104,10,9.61538461539,C6,C,6,2,percentage
33,50,0,0.0,C6,C,6,2,percentage
34,20,0,0.0,C6,C,6,2,percentage
35,6,0,0.0,C6,C,6,2,percentage
36,1,0,0.0,C6,C,6,2,percentage
0,1,0,0.0,C6,C,6,3,percentage
1,6,0,0.0,C6,C,6,3,percentage
2,20,0,0.0,C6,C,6,3,percentage
3,50,0,0.0,C6,C,6,3,percentage
4,104,0,0.0,C6,C,6,3,percentage
5,190,0,0.0,C6,C,6,3,percentage
6,315,0,0.0,C6,C,6,3,percentage
7,484,0,0.0,C6,C,6,3,percentage
8,699,0,0.0,C6,C,6,3,percentage
9,958,0,0.0,C6,C,6,3,percentage
10,1255,0,0.0,C6,C,6,3,percentage
11,1580,0,0.0,C6,C,6,3,percentage
12,1919,0,0.0,C6,C,6,3,percentage
13,2254,0,0.0,C6,C,6,3,percentage
14,2565,0,0.0,C6,C,6,3,percentage
15,2832,3,0.10593220339,C6,C,6,3,percentage
16,3037,4,0.13170892328,C6,C,6,3,percentage
17,3166,8,0.252684775742,C6,C,6,3,percentage
18,3210,8,0.249221183801,C6,C,6,3,percentage
19,3166,8,0.252684775742,C6,C,6,3,percentage
20,3037,19,0.625617385578,C6,C,6,3,percentage
21,2832,23,0.812146892656,C6,C,6,3,percentage
22,2565,24,0.93567251462,C6,C,6,3,percentage
23,2254,26,1.15350488021,C6,C,6,3,percentage
24,1919,31,1.61542470037,C6,C,6,3,percentage
25,1580,23,1.45569620253,C6,C,6,3,percentage
26,1255,16,1.27490039841,C6,C,6,3,percentage
27,958,10,1.04384133612,C6,C,6,3,percentage
28,699,8,1.14449213162,C6,C,6,3,percentage
29,484,3,0.619834710744,C6,C,6,3,percentage
30,315,0,0.0,C6,C,6,3,percentage
31,190,0,0.0,C6,C,6,3,percentage
32,104,0,0.0,C6,C,6,3,percentage
33,50,0,0.0,C6,C,6,3,percentage
34,20,0,0.0,C6,C,6,3,percentage
35,6,0,0.0,C6,C,6,3,percentage
36,1,0,0.0,C6,C,6,3,percentage
0,1,0,0.0,D4,D,4,2,percentage
1,4,0,0.0,D4,D,4,2,percentage
2,9,0,0.0,D4,D,4,2,percentage
3,16,0,0.0,D4,D,4,2,percentage
4,23,0,0.0,D4,D,4,2,percentage
5,28,0,0.0,D4,D,4,2,percentage
6,30,0,0.0,D4,D,4,2,percentage
